DATE,GOLD_PRICE,GOLD_OPEN,GOLD_HIGH,GOLD_LOW,GOLD_CHANGE_%
14-03-2025,2984.42,2988.38,3005.08,2978.41,-0.11
13-03-2025,2987.75,2932.66,2989.64,2932.03,1.9
12/3/2025,2932.06,2916.85,2940.83,2906.19,0.55
11/3/2025,2916.04,2888.72,2922.22,2880.34,0.92
10/3/2025,2889.4,2912.17,2918.5,2880.3,-0.73
7/3/2025,2910.79,2910.48,2930.56,2896.71,0.03
6/3/2025,2909.99,2918.98,2926.88,2891.34,-0.3
5/3/2025,2918.84,2917.59,2929.94,2894.19,0.05
4/3/2025,2917.49,2894.05,2928.15,2881.81,0.82
3/3/2025,2893.71,2856.71,2895.45,2855.63,1.23
28-02-2025,2858.6,2877.66,2885.34,2832.63,-0.61
27-02-2025,2876.19,2916.8,2920.96,2867.86,-1.37
26-02-2025,2916.19,2915.42,2930.22,2890.99,0.04
25-02-2025,2915.12,2951.82,2954.44,2888.06,-1.22
24-02-2025,2951.19,2936.41,2956.37,2920.77,0.52
21-02-2025,2936.03,2939,2950.01,2916.7,-0.09
20-02-2025,2938.7,2932.81,2954.97,2924.2,0.21
19-02-2025,2932.64,2935.73,2947.23,2918.5,-0.1
18-02-2025,2935.58,2897.51,2937.46,2891.94,1.31
17-02-2025,2897.66,2883.55,2906.69,2887.2,0.5
14-02-2025,2883.18,2929.19,2940.23,2876.96,-1.57
13-02-2025,2929.03,2904.1,2929.74,2900.2,0.87
12/2/2025,2903.66,2898.9,2909.16,2864.01,0.18
11/2/2025,2898.34,2907.47,2943.25,2881.76,-0.31
10/2/2025,2907.34,2864.08,2911.6,2854.69,1.64
7/2/2025,2860.39,2856.6,2886.96,2852.55,0.14
6/2/2025,2856.5,2865.26,2873.74,2834.4,-0.3
